date,old_sql_swe_mm,old_zonal_area_m2,old_zonal_mean_swe_mm,new_area_m2,new_mean_swe_mm,new_zonal_weighted_mean_swe_mm
2024-03-18,151.44714949052053,19094472001.5,126.18736420260352,19111977644.75,126.00130805783935,126.35364077483975
2024-03-19,144.17718947504184,19094472001.5,120.28880222884742,19111977644.75,120.10637133875204,120.46009547209533
2024-03-20,139.9937121114406,19094472001.5,123.78437379040935,19111977644.75,123.58415028056447,123.94160461910839
2024-03-21,134.4035857087579,19094472001.5,119.07161952096232,19111977644.75,118.87825573720563,119.23386225551832
2024-03-22,129.96269186121486,19094472001.5,115.54877017450465,19111977644.75,115.35929368455939,115.71295113517137
2024-03-23,131.67312653166488,19094472001.5,119.52584539019529,19111977644.75,119.32447490955343,119.68400197520376
2024-03-24,133.71320779053983,19094472001.5,118.02106671686393,19111977644.75,117.82295131717612,118.18418773462591
2024-03-25,133.4915194118423,19094472001.5,117.00094827353091,19111977644.75,116.8045671572461,117.16671790476487
2024-03-26,134.36995356636146,19094472001.5,121.99785913022173,19111977644.75,121.78247352283144,122.15295295369168
2024-03-27,132.95840319876183,19094472001.5,121.11775611793077,19111977644.75,120.90137577990942,121.27268433997963
2024-03-28,142.6744163549616,19094472001.5,127.67701487740368,19111977644.75,127.45768029390861,127.84719844468682
2024-03-29,148.77505481749134,19094472001.5,130.23311777098834,19111977644.75,130.01874666822565,130.41534559303707
2024-03-30,147.62624145492092,19094472001.5,128.91810123694825,19111977644.75,128.7058188498598,129.10368448622958
2024-03-31,144.37685412098568,19094472001.5,126.62844179194983,19111977644.75,126.41867326082202,126.8175133367808
2024-04-01,141.5857087579002,19094472001.5,124.63197234724163,19111977644.75,124.42443647027416,124.8239646612778
2024-04-02,137.52840835805515,19094472001.5,121.6898559258835,19111977644.75,121.48436986040012,121.88361318679063
2024-04-03,130.9730749387334,19094472001.5,116.74522688116652,19111977644.75,116.54366752241106,116.93920455596029
2024-04-04,131.1716432348765,19094472001.5,123.20606408112265,19111977644.75,122.97746944570073,123.36757445084345
2024-04-05,131.70798400620058,19094472001.5,125.2789892240887,19111977644.75,125.05310618144921,125.44422727675283
2024-04-06,130.829130659105,19094472001.5,124.6056499187332,19111977644.75,124.37872883591461,124.76839375830424
2024-04-07,130.27905326970364,19094472001.5,124.45021796772905,19111977644.75,124.22273394112669,124.61338765379735
2024-04-08,129.60373403843786,19094472001.5,122.99459631815004,19111977644.75,122.76904633576822,123.15939213961758
2024-04-09,127.65990584289949,19094472001.5,120.79121974928518,19111977644.75,120.56845643582791,120.95819942848021
2024-04-10,128.11134399587266,19094472001.5,126.14504155278463,19111977644.75,125.90036947490866,126.29785454844156
2024-04-11,124.69724622726694,19094472001.5,122.83512993447873,19111977644.75,122.59458578436343,122.99095736014642
2024-04-12,120.3796594866507,19094472001.5,119.15693062421842,19111977644.75,118.92078246036274,119.31410619961026
2024-04-13,117.18947504191918,19094472001.5,115.87045439478804,19111977644.75,115.63936725670108,116.02853323573082
2024-04-14,114.55830001289803,19094472001.5,112.70998150693144,19111977644.75,112.48532879022775,112.87209713114886
2024-04-15,113.21391719334453,19094472001.5,109.44055172267062,19111977644.75,109.22127125254116,109.60317704095812
2024-04-16,111.57803430929957,19094472001.5,111.05265897112417,19111977644.75,110.82410340757859,111.20773303591263
2024-04-17,109.35218625048351,19094472001.5,109.5425324156665,19111977644.75,109.3151448974959,109.69683889159005
2024-04-18,107.93844318328395,19094472001.5,109.20797256374388,19111977644.75,108.98334475756464,109.36295053567626
